,datetime,open,high,low,close,volume,money
73,2015-02-27,3435.36,3594.81,3405.63,3572.84,130579554500.0,1639029095143.0
74,2015-03-10,3603.45,3608.69,3417.49,3520.61,153694152200.0,1954059740878.0
75,2015-03-19,3524.57,3859.13,3512.22,3839.74,215527883200.0,2616392268263.0
76,2015-03-30,3852.49,4101.65,3832.42,4088.18,271529703600.0,3564911204531.0
77,2015-04-09,4138.89,4332.17,4037.77,4262.14,273969201200.0,3881675613519.0
78,2015-04-20,4249.38,4671.17,4231.2,4521.92,335077494900.0,4544764107053.0
79,2015-04-29,4520.46,4839.08,4504.56,4774.33,350088474600.0,5156757793634.0
80,2015-05-11,4788.41,4818.73,4445.59,4690.53,258807021500.0,3886560051448.0
81,2015-05-20,4692.12,4843.1,4565.06,4754.92,236108782200.0,3765789375985.0
82,2015-05-29,4768.69,5226.84,4665.52,4840.83,318509384000.0,5070899553607.0
83,2015-06-09,4862.76,5380.43,4835.77,5317.46,348120417100.0,5379677979246.0
84,2015-06-18,5254.3,5374.83,4926.43,4930.55,291357715900.0,4629582682701.0
85,2015-06-30,4847.06,4919.26,4000.93,4473.0,310331494500.0,4345234027590.0
86,2015-07-09,4408.98,4526.13,3537.83,3897.63,373090169900.0,4535441283149.0
87,2015-07-20,3916.27,4278.16,3856.32,4160.61,289348431200.0,3729058924921.0
88,2015-07-29,4109.76,4299.65,3627.42,3930.38,240939264600.0,3226296638419.0
89,2015-08-07,3915.78,3968.53,3742.58,3906.95,149107913400.0,1988823512085.0
90,2015-08-18,3947.47,4113.16,3816.55,3825.41,195701161000.0,2580217090504.0
91,2015-08-27,3748.27,3898.74,2952.01,3205.64,180628771800.0,2024241390165.0
92,2015-09-09,3246.24,3426.65,3170.81,3399.3,185928825200.0,1974615926754.0
93,2015-09-18,3349.28,3398.32,3131.37,3251.27,103845872700.0,1150820997870.0
94,2015-09-29,3222.6,3371.41,3159.04,3178.85,77698270900.0,897823644827.0
95,2015-10-15,3195.9,3486.82,3186.77,3486.82,102516010800.0,1219900085762.0
96,2015-10-26,3508.52,3620.76,3417.41,3589.26,146452153200.0,1801648090409.0
97,2015-11-04,3569.45,3628.54,3452.62,3628.54,106601390700.0,1363357092177.0
98,2015-11-13,3630.78,3891.77,3627.3,3746.24,199338590400.0,2620406212648.0
99,2015-11-24,3682.74,3852.77,3680.07,3753.89,125650724000.0,1720749034777.0
100,2015-12-03,3747.76,3805.84,3455.07,3749.3,125544847500.0,1619015195453.0
101,2015-12-14,3719.73,3726.12,3571.0,3711.32,88649640200.0,1192475220697.0
102,2015-12-23,3707.73,3926.69,3677.45,3866.38,119397057100.0,1650152412668.0
103,2016-01-04,3858.14,3867.68,3468.95,3469.07,84555359000.0,1164185131817.0
104,2016-01-13,3382.18,3543.74,3155.88,3155.88,96167589700.0,1064992990532.0
105,2016-01-22,3076.64,3227.91,3053.96,3113.46,81971305300.0,891075498375.0
106,2016-02-02,3129.03,3149.33,2839.29,2961.33,72862766800.0,716824130193.0
107,2016-02-18,2931.29,3093.51,2886.02,3053.7,68421168000.0,672294155318.0
108,2016-02-29,3047.94,3128.21,2821.21,2877.47,84675552200.0,837393908781.0
109,2016-03-09,2881.34,3130.9,2863.32,3071.91,106446056700.0,1008393247981.0
110,2016-03-18,3056.21,3197.67,2982.17,3171.96,80852714600.0,850140085630.0
111,2016-03-29,3203.29,3267.78,3122.76,3135.41,95123277900.0,1121935659372.0
112,2016-04-08,3161.29,3271.93,3161.29,3185.73,83713589400.0,953736086816.0
113,2016-04-19,3213.51,3296.52,3198.9,3238.3,80462237700.0,862891462721.0
114,2016-04-28,3244.14,3248.42,3107.37,3160.58,60045389300.0,658195570836.0
115,2016-05-10,3153.54,3222.88,3055.01,3069.11,59855135200.0,658610397273.0
116,2016-05-19,3080.64,3105.2,3035.02,3062.5,49108925500.0,531525689582.0
117,2016-05-30,3047.78,3098.48,3027.44,3066.71,41512555600.0,448737869559.0
118,2016-06-08,3068.6,3201.75,3068.6,3163.99,66142064300.0,804095290193.0
119,2016-06-21,3134.05,3155.49,3042.23,3106.32,56657883500.0,672214877511.0
120,2016-06-30,3100.45,3163.72,3033.97,3153.92,59773924000.0,721899359118.0
121,2016-07-11,3156.93,3235.96,3134.02,3203.33,80704073300.0,939081830414.0
122,2016-07-20,3201.91,3300.99,3200.3,3237.61,82982176500.0,968978339430.0
123,2016-07-29,3238.34,3276.51,3157.41,3203.93,68430169300.0,838653855625.0
124,2016-08-09,3196.43,3257.33,3156.75,3256.98,55047728700.0,639125022049.0
125,2016-08-18,3255.18,3418.69,3231.14,3364.49,100588664700.0,1178365052312.0
126,2016-08-29,3358.55,3374.05,3279.81,3307.78,66118463800.0,759904002274.0
127,2016-09-07,3310.32,3357.36,3295.76,3340.82,60255239500.0,710053434207.0
128,2016-09-20,3338.01,3344.95,3231.34,3257.4,52671914900.0,599617739636.0
129,2016-09-29,3257.71,3303.2,3214.44,3244.39,42198329700.0,486564435506.0
130,2016-10-17,3240.18,3309.01,3239.04,3277.88,53153420400.0,552472823586.0
131,2016-10-26,3272.68,3382.83,3272.68,3354.8,75528331000.0,755934346779.0
132,2016-11-04,3351.46,3379.99,3317.33,3354.17,63854448500.0,704007717251.0
133,2016-11-15,3353.44,3452.62,3322.08,3429.87,102343678500.0,1012180803267.0
134,2016-11-24,3432.43,3508.16,3412.08,3488.74,99041422700.0,1018978914636.0
135,2016-12-05,3490.04,3583.72,3457.34,3469.41,133385411900.0,1419250944113.0
136,2016-12-14,3466.24,3507.93,3370.6,3378.95,93014201500.0,962673722793.0
